committee,committee_acronym
Comissão de Relações Exteriores e de Defesa Nacional,CREDN
Comissão de Fiscalização Financeira e Controle,CFFC
Comissão de Direitos Humanos e Minorias,CDHM
"Comissão de Agricultura, Pecuária, Abastecimento e Desenvolvimento Rural",CAPADR
Comissão de Finanças e Tributação,CFT
Comissão de Defesa do Consumidor,CDC
Comissão de Desenvolvimento Urbano,CDU
"Comissão de Integração Nacional, Desenvolvimento Regional e Amazônia",CINDRA
Comissão de Minas e Energia,CME
Comissão de Viação e Transportes,CVT
"Comissão de Trabalho, Administração e Serviço Público",CTASP
Comissão de Segurança Pública e Combate ao Crime Organizado,CSPCCO
Comissão de Constituição e Justiça e de Cidadania,CCJC
Comissão de Legislação Participativa,CLP
Comissão de Meio Ambiente e Desenvolvimento Sustentável,CMADS
"Comissão de Desenvolvimento Econômico, Indústria, Comércio e Serviços",CDEICS
Comissão de Seguridade Social e Família,CSSF
Comissão de Cultura,CC
"Comissão de Ciência e Tecnologia, Comunicação e Informática",CCTCI
Comissão de Turismo,CT
Comissão de Educação,CEdu
Comissão dos Direitos das Pessoas com Deficiência,CDPD
Comissão do Esporte,CEsp
Comissão dos Direitos da Mulher,CDM
Comissão dos Direitos da Pessoa Idosa,CDPI
