speaker,party,state
Abel Mesquita Jr.,DEM,RR
Adail Carneiro,PODE,CE
Adalberto Cavalcanti,AVANTE,PE
Adelmo Carneiro Leão,PT,MG
Adelson Barreto,PR,SE
Ademir Camilo,MDB,MG
Adilton Sachetti,PRB,MT
Adérmis Marini,PSDB,SP
Aelton Freitas,PR,MG
Afonso Florence,PT,BA
Afonso Hamm,PP,RS
Afonso Motta,PDT,RS
Aguinaldo Ribeiro,PP,PB
Alan Rick,DEM,AC
Alberto Filho,PP,MA
Alberto Fraga,DEM,DF
Alceu Moreira,MDB,RS
Alessandro Molon,PSB,RJ
Alex Canziani,PTB,PR
Alex Manente,PPS,SP
Alexandre Baldy,PP,GO
Alexandre Leite,DEM,SP
Alexandre Serfiotis,PSD,RJ
Alexandre Valle,PR,RJ
Alfredo Kaefer,PP,PR
Alice Portugal,PCdoB,BA
Aliel Machado,PSB,PR
Altineu Côrtes,PR,RJ
Aluisio Mendes,PODE,MA
Ana Perugini,PT,SP
Andres Sanchez,PT,SP
André Abdon,PP,AP
André Amaral,PROS,PB
André Figueiredo,PDT,CE
André Fufuca,PP,MA
André Moura,PSC,SE
Angela Albino,PCdoB,SC
Angelim,PT,AC
Antonio Balhmann,PDT,CE
Antonio Brito,PSD,BA
Antonio Bulhões,PRB,SP
Antonio Carlos Mendes Thame,PV,SP
Antonio Imbassahy,PSDB,BA
Antônio Jácome,PODE,RN
Arlindo Chinaglia,PT,SP
Arnaldo Faria de Sá,PP,SP
Arnaldo Jordy,PPS,PA
Arnon Bezerra,PTB,CE
Arolde de Oliveira,PSD,RJ
Arthur Lira,PP,AL
Arthur Oliveira Maia,DEM,BA
Arthur Virgílio Bisneto,PSDB,AM
Assis Carvalho,PT,PI
Assis Melo,PCdoB,RS
Assis do Couto,PDT,PR
Augusto Carvalho,SD,DF
Augusto Coutinho,SD,PE
Aureo,SD,RJ
Bacelar,PODE,BA
Baleia Rossi,MDB,SP
Bebeto,PSB,BA
Benedita da Silva,PT,RJ
Benito Gama,PTB,BA
Benjamin Maranhão,MDB,PB
Betinho Gomes,PSDB,PE
Beto Faro,PT,PA
Beto Mansur,MDB,SP
Beto Rosado,PP,RN
Beto Salame,PP,PA
Bilac Pinto,DEM,MG
Bohn Gass,PT,RS
Bonifácio de Andrada,DEM,MG
Bosco Costa,PROS,SE
Bruna Furlan,PSDB,SP
Brunny,PR,MG
Bruno Araújo,PSDB,PE
Bruno Covas,PSDB,SP
Cabo Daciolo,PATRI,RJ
Cabo Sabino,AVANTE,CE
Cabuçu Borges,MDB,AP
Cacá Leão,PP,BA
Caetano,PT,BA
Caio Narcio,PSDB,MG
Capitão Augusto,PODE,RS
Capitão Fábio Abreu,PR,PI
Carlos Andrade,PHS,RR
Carlos Bezerra,MDB,MT
Carlos Gomes,PRB,RS
Carlos Henrique Gaguim,DEM,TO
Carlos Manato,PSL,ES
Carlos Marun,MDB,MS
Carlos Melles,DEM,MG
Carlos Sampaio,PSDB,SP
Carlos Souza,PSDB,AM
Carlos Zarattini,PT,SP
Carmen Zanotto,PPS,SC
Celso Jacob,MDB,RJ
Celso Maldaner,MDB,SC
Celso Pansera,PT,RJ
Celso Russomanno,PRB,SP
Cesar Souza,PSD,SC
Chico Alencar,PSOL,RJ
Chico D'Angelo,PDT,RJ
Chico Lopes,PCdoB,CE
Christiane de Souza Yared,PR,PR
Clarissa Garotinho,PROS,RJ
Claudio Cajado,PP,BA
Cleber Verde,PRB,MA
Conceição Sampaio,PSDB,AM
Covatti Filho,PP,RS
Creuza Pereira,PSB,PE
Cristiane Brasil,PTB,RJ
Célio Silveira,PSDB,GO
César Halum,PRB,TO
César Messias,PSB,AC
Dagoberto Nogueira,PDT,MS
Damião Feliciano,PDT,PB
Daniel Almeida,PCdoB,BA
Daniel Coelho,PPS,PE
Daniel Vilela,MDB,GO
Danilo Cabral,PSB,PE
Danilo Forte,PSDB,CE
Danrlei de Deus Hinterholz,PSD,RS
Darcísio Perondi,MDB,RS
Davidson Magalhães,PCdoB,BA
Delegado Edson Moreira,PR,MG
Delegado Francischini,PSL,PR
Delegado Waldir,PSL,GO
Delegado Éder Mauro,PSD,PA
Deley,PTB,RJ
Deoclides Macedo,PDT,MA
Diego Andrade,PSD,MG
Diego Garcia,PODE,PR
Dilceu Sperafico,PP,PR
Domingos Neto,PSD,CE
Domingos Sávio,PSDB,MG
Doutor Jorge Silva,SD,ES
Doutor Sinval Malheiros,PODE,SP
Duarte Nogueira,PSDB,SP
Dulce Miranda,MDB,TO
Dâmina Pereira,PODE,MG
Décio Lima,PT,SC
Edinho Bez,MDB,SC
Edio Lopes,PR,RR
Edmar Arruda,PSD,PR
Edmilson Rodrigues,PSOL,PA
Eduardo Barbosa,PSDB,MG
Eduardo Bolsonaro,PSL,SP
Eduardo Cunha,PMDB,RJ
Eduardo Cury,PSDB,SP
Eduardo da Fonte,PP,PE
Efraim Filho,DEM,PB
Elcione Barbalho,MDB,PA
Eli Corrêa Filho,DEM,SP
Elizeu Dionizio,PSB,MS
Eliziane Gama,PPS,MA
Elmar Nascimento,DEM,BA
Enio Verri,PT,PR
Erika Kokay,PT,DF
Eros Biondini,PROS,MG
Esperidião Amin,PP,SC
Evair Vieira de Melo,PP,ES
Evandro Gussi,PV,SP
Evandro Roman,PSD,PR
Expedito Netto,PSD,RO
Ezequiel Fonseca,PP,MT
Ezequiel Teixeira,PODE,RJ
Fabio Garcia,DEM,MT
Fabio Reis,MDB,SE
Fausto Pinato,PP,SP
Felipe Bornier,PROS,RJ
Felipe Carreras,PSB,PE
Felipe Maia,DEM,RN
Fernando Jordão,MDB,RJ
Fernando Marroni,PT,RS
Fernando Monteiro,PP,PE
Flaviano Melo,MDB,AC
Flavinho,PSC,SP
Flávia Morais,PDT,GO
Francisco Chapadinha,PODE,PA
Francisco Floriano,DEM,RJ
Franklin,PP,MG
Fábio Faria,PSD,RN
Fábio Mitidieri,PSD,SE
Fábio Ramalho,MDB,MG
Fábio Sousa,PSDB,GO
Fábio Trad,PSD,MS
Félix Mendonça Jr.,PDT,BA
Gabriel Guimarães,PT,MG
Genecias Noronha,SD,CE
Geovania de Sá,PSDB,SC
Geraldo Resende,PSDB,MS
Gilberto Nascimento,PSC,SP
Gilmar Nascimento,PSD,AM
Giovani Cherini,PR,RS
Giovanni Queiroz,PDT,PA
Giuseppe Vecci,PSDB,GO
Givaldo Carimbão,AVANTE,AL
Givaldo Vieira,PCdoB,ES
Glauber Braga,PSOL,RJ
Gonzaga Patriota,PSB,PE
Gorete Pereira,PR,CE
Goulart,PSD,SP
Guilherme Coelho,PSDB,PE
Guilherme Mussi,PP,SP
Heitor Schuch,PSB,RS
Helder Salomão,PT,ES
Henrique Eduardo Alves,PMDB,RN
Henrique Fontana,PT,RS
Herculano Passos,MDB,SP
Heráclito Fortes,DEM,PI
Heuler Cruvinel,PP,GO
Hildo Rocha,MDB,MA
Hiran Gonçalves,PP,RR
Hissa Abrahão,PDT,AM
Hugo Leal,PSD,RJ
Hugo Motta,PRB,PB
Hélio Leite,DEM,PA
Indio da Costa,PSD,RJ
Irajá Abreu,PSD,TO
Ivan Valente,PSOL,SP
Izalci Lucas,PSDB,DF
JHC,PSB,AL
Jaime Martins,PROS,MG
Jair Bolsonaro,PSL,RJ
Jandira Feghali,PCdoB,RJ
Janete Capiberibe,PSB,AP
Jean Wyllys,PSOL,RJ
Jefferson Campos,PSB,SP
Jerônimo Goergen,PP,RS
Jhonatan de Jesus,PRB,RR
Joaquim Passarinho,PSD,PA
Jones Martins,MDB,RS
Jorge Boeira,PP,SC
Jorge Côrte Real,PTB,PE
Jorge Solla,PT,BA
Jorge Tadeu Mudalen,DEM,SP
Jorginho Mello,PR,SC
Jose Stédile,PSB,RS
Josi Nunes,PROS,TO
Josué Bengtson,PTB,PA
José Airton Cirilo,PT,CE
José Carlos Aleluia,DEM,BA
